Variable, Descriptions
MCARE31X,COV BY MEDICARE - R3/1 INT DT (ED)
MCARE42,COV BY MEDICARE - R4/2 INT DT
MCARE42X,COV BY MEDICARE - R4/2 INT DT (ED)
MCARE53,COV BY MEDICARE 12-31/R3 INT DT
MCARE53X,COV BY MEDICARE 12-31/R3 INT DT (ED)
MCDAP22,COV BY MEDICAID OR SCHIP IN APR22
MCDAP22X,COV BY MEDICAID OR SCHIP IN APR22 (ED)
MCDAT22X,CV MCD/CHIP-ANY TME IN R5/3 TIL 12/31/22
MCDAT31X,COV MEDICAID OR SCHIP - ANY TIME IN R3/1
MCDAT42X,COV MEDICAID OR SCHIP - ANY TIME IN R4/2
MCDAT53X,COV MEDICAID OR SCHIP - ANY TIME IN R5/3
MCDAU22,COV BY MEDICAID OR SCHIP IN AUG22
MCDAU22X,COV BY MEDICAID OR SCHIP IN AUG22 (ED)
MCDDE22,COV BY MEDICAID OR SCHIP IN DEC22
MCDDE22X,COV BY MEDICAID OR SCHIP IN DEC22 (ED)
MCDEV22,EVER HAVE MCAID/SCHIP DURING 2022 (ED)
MCDFE22,COV BY MEDICAID OR SCHIP IN FEB22
MCDFE22X,COV BY MEDICAID OR SCHIP IN FEB22 (ED)
MCDHMO22,COV BY MCAID/SCHIP HMO-R5/3 TIL 12/31/22
MCDHMO31,COV BY MCAID/SCHIP HMO -ANY TIME IN R3/1
MCDHMO42,COV BY MCAID/SCHIP HMO -ANY TIME IN R4/2
MCDJA22,COV BY MEDICAID OR SCHIP IN JAN22
MCDJA22X,COV BY MEDICAID OR SCHIP IN JAN22 (ED)
MCDJL22,COV BY MEDICAID OR SCHIP IN JUL22
MCDJL22X,COV BY MEDICAID OR SCHIP IN JUL22 (ED)
MCDJU22,COV BY MEDICAID OR SCHIP IN JUN22
MCDJU22X,COV BY MEDICAID OR SCHIP IN JUN22 (ED)
MCDMA22,COV BY MEDICAID OR SCHIP IN MAR22
MCDMA22X,COV BY MEDICAID OR SCHIP IN MAR22 (ED)
MCDMC22,CV MCD/CHIP GTKPR PLN-R5/3 TIL 12/31/22
MCDMC31,CV MCAID/CHIP GTKPR PLN-ANY TIME IN R3/1
MCDMC42,CV MCAID/CHIP GTKPR PLN-ANY TIME IN R4/2
MCDMY22,COV BY MEDICAID OR SCHIP IN MAY22
MCDMY22X,COV BY MEDICAID OR SCHIP IN MAY22 (ED)
MCDNO22,COV BY MEDICAID OR SCHIP IN NOV22
MCDNO22X,COV BY MEDICAID OR SCHIP IN NOV22 (ED)
MCDOC22,COV BY MEDICAID OR SCHIP IN OCT22
MCDOC22X,COV BY MEDICAID OR SCHIP IN OCT22 (ED)
MCDSE22,COV BY MEDICAID OR SCHIP IN SEP22
MCDSE22X,COV BY MEDICAID OR SCHIP IN SEP22 (ED)
MCRAP22,COVERED BY MEDICARE IN APR22
MCRAP22X,COVERED BY MEDICARE IN APR22 (ED)
MCRAU22,COVERED BY MEDICARE IN AUG22
MCRAU22X,COVERED BY MEDICARE IN AUG22 (ED)
MCRDE22,COVERED BY MEDICARE IN DEC22
MCRDE22X,COVERED BY MEDICARE IN DEC22 (ED)
MCREV22,EVER HAVE MEDICARE DURING 2022 (ED)
MCRFE22,COVERED BY MEDICARE IN FEB22
MCRFE22X,COVERED BY MEDICARE IN FEB22 (ED)
MCRJA22,COVERED BY MEDICARE IN JAN22
MCRJA22X,COVERED BY MEDICARE IN JAN22 (ED)
MCRJL22,COVERED BY MEDICARE IN JUL22
MCRJL22X,COVERED BY MEDICARE IN JUL22 (ED)
MCRJU22,COVERED BY MEDICARE IN JUN22
MCRJU22X,COVERED BY MEDICARE IN JUN22 (ED)
MCRMA22,COVERED BY MEDICARE IN MAR22
MCRMA22X,COVERED BY MEDICARE IN MAR22 (ED)
MCRMY22,COVERED BY MEDICARE IN MAY22
MCRMY22X,COVERED BY MEDICARE IN MAY22 (ED)
MCRNO22,COVERED BY MEDICARE IN NOV22
MCRNO22X,COVERED BY MEDICARE IN NOV22 (ED)
MCROC22,COVERED BY MEDICARE IN OCT22
MCROC22X,COVERED BY MEDICARE IN OCT22 (ED)
MCRPD22,COV BY MEDICARE PMED BENEFIT - 12/31/22
MCRPD22X,COV BY MCARE PMED BENEFIT-12/31/22 (ED)
MCRPD31,COV BY MEDICARE PMED BENEFIT - R3/1
MCRPD31X,COV BY MEDICARE PMED BENEFIT - R3/1 (ED)
MCRPD42,COV BY MEDICARE PMED BENEFIT - R4/2
MCRPD42X,COV BY MEDICARE PMED BENEFIT - R4/2 (ED)
MCRPHD22,"COV BY MEDICARE MNGED CARE DNTL BENEFIT
-12/31/22"
MCRPHO22,"COV BY MEDICARE MANAGED CARE/MEDICARE
ADVANTAGE - 12/31/22"
MCRPHO31,"COV BY MEDICARE MANAGED CARE/MEDICARE
ADVANTAGE - R3/1"
MCRPHO42,"COV BY MEDICARE MANAGED CARE/MEDICARE
ADVANTAGE - R4/2"
MCRSE22,COVERED BY MEDICARE IN SEP22
MCRSE22X,COVERED BY MEDICARE IN SEP22 (ED)
MESHGT42,DOCTOR EVER MEASURED HEIGHT (0-17)-R4/2
MESVIS42,DOCTOR CHECKED CHILD'S VISION (3-6)-R4/2
MESWGT42,DOCTOR EVER MEASURED WEIGHT (0-17)-R4/2
MIAGED,AGE OF DIAGNOSIS-HEART ATTACK(MI)
MIDX,HEART ATTACK (MI) DIAG (>17)
MILDIF31,DIFFICULTY WALKING A MILE - RD 3/1
MNHLTH31,PERCEIVED MENTAL HEALTH STATUS - RD 3/1
MNHLTH42,PERCEIVED MENTAL HEALTH STATUS - RD 4/2
MNHLTH53,PERCEIVED MENTAL HEALTH STATUS - RD 5/3
MORE31,RD 3/1 CMJ FIRM HAS MORE THAN 1 LOCATION
MORE42,RD 4/2 CMJ FIRM HAS MORE THAN 1 LOCATION
MORE53,RD 5/3 CMJ FIRM HAS MORE THAN 1 LOCATION
MORECOVR,COV BY MOR COMPR PL PREV 2 YR-PN 27 ONLY
MORJOB31,HAS MORE THAN ONE JOB RD 3/1 INT DATE
MORJOB42,HAS MORE THAN ONE JOB RD 4/2 INT DATE
MORJOB53,HAS MORE THAN ONE JOB RD 5/3 INT DATE
NATAMP42,IS PROVIDER NATIVE AMERICAN-R4/2
NHRWG31,UPDATED HRLY WAGE RD 3/1 CMJ (EDITED)
NHRWG42,UPDATED HRLY WAGE RD 4/2 CMJ (EDITED)
NHRWG53,UPDATED HRLY WAGE RD 5/3 CMJ (EDITED)
NOSMOK42,DR ADVISE SMKG IN HOME IS BAD(0-17)-R4/2
NUMEMP31,NUMBER OF EMPLOYEES AT RD 3/1 CMJ
NUMEMP42,NUMBER OF EMPLOYEES AT RD 4/2 CMJ
NUMEMP53,NUMBER OF EMPLOYEES AT RD 5/3 CMJ
NWK31,REASON NOT WORKING DURING RD 3/1
NWK42,REASON NOT WORKING DURING RD 4/2
NWK53,REASON NOT WORKING DURING RD 5/3
OCCCAT31,OCCUPATION GROUP RD 3/1 CMJ
OCCCAT42,OCCUPATION GROUP RD 4/2 CMJ
OCCCAT53,OCCUPATION GROUP RD 5/3 CMJ
OFFER31X,HEALTH INSUR OFFERED BY RD 3/1 CMJ (ED)
OFFER42X,HEALTH INSUR OFFERED BY RD 4/2 CMJ (ED)
OFFER53X,HEALTH INSUR OFFERED BY RD 5/3 CMJ (ED)
OFFHOU42,USC HAS OFFCE HRS NGHTS/WKENDS-R4/2
OFREMP31,EMPLOYER OFFERS HEALTH INS RD 3/1 CMJ
OFREMP42,EMPLOYER OFFERS HEALTH INS RD 4/2 CMJ
OFREMP53,EMPLOYER OFFERS HEALTH INS RD 5/3 CMJ
OFTSMK53,HOW OFTN SMOKE CIGARETTES (>17) - RD 5/3
OHRTAGED,AGE OF DIAGNOSIS-OTHER HEART DISEASE
OHRTDX,OTHER HEART DISEASE DIAG (>17)
OHRTTYPE,TYPE OF OTHER HEART DISEASE (>17)
OTHDYS22,MISS ANY WORK DAY TO CARE FOR OTH 2022
OTHLGSPK,SPEAK OTHER LANGUAGE AT HOME
OTHNDD22,# DAY MISSED WORK TO CARE FOR OTH 2022
OTHRCP42,IS PROVIDER SOME OTHER RACE-R4/2
PACISP42,IS PROVIDER OTH PACIFIC ISLNDR-R4/2
PANEL,PANEL NUMBER
PAYDR31,PAID LEAVE TO VISIT DR RD 3/1 CMJ
PAYDR42,PAID LEAVE TO VISIT DR RD 4/2 CMJ
PAYDR53,PAID LEAVE TO VISIT DR RD 5/3 CMJ
PAYVAC31,PAID VACATION AT RD 3/1 CMJ
PAYVAC42,PAID VACATION AT RD 4/2 CMJ
PAYVAC53,PAID VACATION AT RD 5/3 CMJ
PDKAP22,COVR BY PRIV INS (SOURCE UNKNWN) APR22
PDKAU22,COVR BY PRIV INS (SOURCE UNKNWN) AUG22
PDKDE22,COVR BY PRIV INS (SOURCE UNKNWN) DEC22
PDKFE22,COVR BY PRIV INS (SOURCE UNKNWN) FEB22
PDKJA22,COVR BY PRIV INS (SOURCE UNKNWN) JAN22
PDKJL22,COVR BY PRIV INS (SOURCE UNKNWN) JUL22
PDKJU22,COVR BY PRIV INS (SOURCE UNKNWN) JUN22
PDKMA22,COVR BY PRIV INS (SOURCE UNKNWN) MAR22
PDKMY22,COVR BY PRIV INS (SOURCE UNKNWN) MAY22
PDKNO22,COVR BY PRIV INS (SOURCE UNKNWN) NOV22
PDKOC22,COVR BY PRIV INS (SOURCE UNKNWN) OCT22
PDKSE22,COVR BY PRIV INS (SOURCE UNKNWN) SEP22
PEGAP22,COVERED BY EMPL UNION INS IN APR22
PEGAU22,COVERED BY EMPL UNION INS IN AUG22
PEGDE22,COVERED BY EMPL UNION INS IN DEC22
PEGFE22,COVERED BY EMPL UNION INS IN FEB22
PEGJA22,COVERED BY EMPL UNION INS IN JAN22
PEGJL22,COVERED BY EMPL UNION INS IN JUL22
PEGJU22,COVERED BY EMPL UNION INS IN JUN22
PEGMA22,COVERED BY EMPL UNION INS IN MAR22
PEGMY22,COVERED BY EMPL UNION INS IN MAY22
PEGNO22,COVERED BY EMPL UNION INS IN NOV22
PEGOC22,COVERED BY EMPL UNION INS IN OCT22
PEGSE22,COVERED BY EMPL UNION INS IN SEP22
PERWT22P,USE FILE PERSON WEIGHT
PFSAMT31,PERSON-LEVEL FSA TOTAL AMOUNT - R3/1
PHNREG42,HOW DIFF CONTACT USC BY PHONE-R4/2
PHYEXE53,MOD/VIG PHYS EXEC 5X WK (>17) - RD 5/3
PHYSCL42,DR ADVISE EXERCISE (2-17)-R4/2
PID,PERSON NUMBER PORTION OF PERSID
PLCTYP42,USC TYPE OF PLACE-R4/2
PMDINS22,PMED INS - R5/R3 UNTIL 12/31/22
PMDINS31,PMED INS - RD 3/1 IN 2022
PMEDIN31,PMED INS - ANY TIME IN RD 3/1
PMEDIN42,PMEDINS - ANY TIME IN RD 4/2
PMEDIN53,PMEDINS - ANY TIME IN RD 5/3
PMEDPY31,USUAL 3RD PARTY PAYER FOR PMEDS - R3/1
PMEDPY42,USUAL 3RD PARTY PAYER FOR PMEDS - R4/2
PMEDPY53,USUAL 3RD PARTY PAYER FOR PMEDS - R5/3
PMEDUP31,HAS USUAL 3RD PARTY PAYER FOR PMEDS-R3/1
PMEDUP42,HAS USUAL 3RD PARTY PAYER FOR PMEDS-R4/2
PMEDUP53,HAS USUAL 3RD PARTY PAYER FOR PMEDS-R5/3
PNEAP22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN APR22"
PNEAU22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN AUG22"
PNEDE22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN DEC22"
PNEFE22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN FEB22"
PNEJA22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN JAN22"
PNEJL22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN JUL22"
PNEJU22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN JUN22"
PNEMA22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN MAR22"
PNEMY22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN MAY22"
PNENO22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN NOV22"
PNEOC22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN OCT22"
PNESE22,"COV BY NON-ESI, PHLDR OUTSIDE RU IN SEP22"
PNGAP22,COVERED BY NONGROUP INS IN APR22
PNGAU22,COVERED BY NONGROUP INS IN AUG22
PNGDE22,COVERED BY NONGROUP INS IN DEC22
PNGFE22,COVERED BY NONGROUP INS IN FEB22
PNGJA22,COVERED BY NONGROUP INS IN JAN22
PNGJL22,COVERED BY NONGROUP INS IN JUL22
PNGJU22,COVERED BY NONGROUP INS IN JUN22
PNGMA22,COVERED BY NONGROUP INS IN MAR22
PNGMY22,COVERED BY NONGROUP INS IN MAY22
PNGNO22,COVERED BY NONGROUP INS IN NOV22
PNGOC22,COVERED BY NONGROUP INS IN OCT22
PNGSE22,COVERED BY NONGROUP INS IN SEP22
POEAP22,"COV BY ESI, PHOLDER OUTSIDE RU IN APR22"
POEAU22,"COV BY ESI, PHOLDER OUTSIDE RU IN AUG22"
POEDE22,"COV BY ESI, PHOLDER OUTSIDE RU IN DEC22"
POEFE22,"COV BY ESI, PHOLDER OUTSIDE RU IN FEB22"
POEJA22,"COV BY ESI, PHOLDER OUTSIDE RU IN JAN22"
POEJL22,"COV BY ESI, PHOLDER OUTSIDE RU IN JUL22"
POEJU22,"COV BY ESI, PHOLDER OUTSIDE RU IN JUN22"
POEMA22,"COV BY ESI, PHOLDER OUTSIDE RU IN MAR22"
POEMY22,"COV BY ESI, PHOLDER OUTSIDE RU IN MAY22"
POENO22,"COV BY ESI, PHOLDER OUTSIDE RU IN NOV22"
POEOC22,"COV BY ESI, PHOLDER OUTSIDE RU IN OCT22"
POESE22,"COV BY ESI, PHOLDER OUTSIDE RU IN SEP22"
POGAP22,COVERED BY OTHER GROUP INS IN APR22
POGAU22,COVERED BY OTHER GROUP INS IN AUG22
POGDE22,COVERED BY OTHER GROUP INS IN DEC22
POGFE22,COVERED BY OTHER GROUP INS IN FEB22
POGJA22,COVERED BY OTHER GROUP INS IN JAN22
POGJL22,COVERED BY OTHER GROUP INS IN JUL22
POGJU22,COVERED BY OTHER GROUP INS IN JUN22
POGMA22,COVERED BY OTHER GROUP INS IN MAR22
POGMY22,COVERED BY OTHER GROUP INS IN MAY22
POGNO22,COVERED BY OTHER GROUP INS IN NOV22
POGOC22,COVERED BY OTHER GROUP INS IN OCT22
POGSE22,COVERED BY OTHER GROUP INS IN SEP22
PRACTP42,PROVIDER OWN/GROUP PRACTICE-R4/2
PREVCOVR,PER COV BY INS IN PREV 2 YRS-PNL 27 ONLY
PRIAP22,COVERED BY PRIVATE INS IN APR22
PRIAU22,COVERED BY PRIVATE INS IN AUG22
PRIDE22,COVERED BY PRIVATE INS IN DEC22
PRIDK22,COV BY PRIV INS (DK PLAN) - 12/31/22
PRIDK31,COV BY PRIV INS (DK PLAN) - R3/1 INT
PRIDK42,COV BY PRIV INS (DK PLAN) - R4/2 INT
PRIDK53,COV BY PRIV INS (DK PLAN) 12-31/R3 INT
PRIEU22,COV BY EMPL/UNION GRP INS - 12/31/22
PRIEU31,COV BY EMPL/UNION GRP INS - R3/1 INT DT
PRIEU42,COV BY EMPL/UNION GRP INS - R4/2 INT DT
PRIEU53,COV BY EMPL/UNION GRP INS 12-31/R3 INT
PRIEUO22,"COV BY ESI, PHOLDR OUTSIDE RU - 12/31/22"
PRIEUO31,"COV BY ESI, PHOLDR OUTSIDE RU - R3/1 INT"
PRIEUO42,"COV BY ESI, PHOLDR OUTSIDE RU - R4/2 INT"
PRIEUO53,"CV BY ESI, PHLDR OUTSIDE RU 12-31/R3 INT"
PRIFE22,COVERED BY PRIVATE INS IN FEB22
PRIJA22,COVERED BY PRIVATE INS IN JAN22
PRIJL22,COVERED BY PRIVATE INS IN JUL22
PRIJU22,COVERED BY PRIVATE INS IN JUN22
PRIMA22,COVERED BY PRIVATE INS IN MAR22
PRIMY22,COVERED BY PRIVATE INS IN MAY22
PRINEO22,"COV BY NON-ESI, PHOLDR OUT RU - 12/31/22"
PRINEO31,"COV BY NON-ESI, PHOLDR OUT RU - R3/1 INT DT"
PRINEO42,"COV BY NON-ESI, PHOLDR OUT RU - R4/2 INT DT"
PRINEO53,"COV BY NON-ESI, PHOLDR OUT RU 12-31/R3 INT DT"
PRING22,COV BY NON-GROUP INS - 12/31/22
PRING31,COV BY NON-GROUP INS - R3/1 INT DT
PRING42,COV BY NON-GROUP INS - R4/2 INT DT
PRING53,COV BY NON-GROUP INS 12-31/R3 INT DT
PRINO22,COVERED BY PRIVATE INS IN NOV22
PRIOC22,COVERED BY PRIVATE INS IN OCT22
PRIOG22,COV BY OTHER GROUP INS - 12/31/22
PRIOG31,COV BY OTHER GROUP INS - R3/1 INT DT
PRIOG42,COV BY OTHER GROUP INS - R4/2 INT DT
PRIOG53,COV BY OTHER GROUP INS 12-31/R3 INT DT
PRISE22,COVERED BY PRIVATE INS IN SEP22
PRIV22,COV BY PRIV HLTH INS - 12/31/22
PRIV31,COV BY PRIV HLTH INS - R3/1 INT DATE
PRIV42,COV BY PRIV HLTH INS - R4/2 INT DATE
PRIV53,COV BY PRIV HLTH INS 12-31/R3 INT DATE
PRIVAT22,COV BY PRIVATE INS - R5/3 UNTIL 12/31/22
PRIVAT31,COV BY PRIVATE INS - ANY TIME IN R3/1
PRIVAT42,COV BY PRIVATE INS - ANY TIME IN R4/2
PRIVAT53,COV BY PRIVATE INS - ANY TIME IN R5/3
PROBPY42,FAMILY HAVING PROB PAYING MEDICAL BILLS
PROVTY42_M18,PROVIDER TYPE-R4/2
PROXY22,WAS RESPONDENT A PROXY AS OF 12/31/22
PROXY31,WAS RESPONDENT A PROXY IN R3/1
PROXY42,WAS RESPONDENT A PROXY IN R4/2
PROXY53,WAS RESPONDENT A PROXY IN R5/3
PRSTX22,PRIV EXCHANGE INSURANCE ON 12/31/22
PRSTX31,COV BY PRIV EXCHANGE INS -R3/1 INT DT
PRSTX42,COV BY PRIV EXCHANGE INS -R4/2 INT DT
PRSTX53,PRIV EXCHANGE INS ON 12-31 R5/R3 INT DT
PRVEV22,EVER HAVE PRIVATE INSURANCE DURING 2022
PRVHMO22,COVERED BY PRIVATE HMO-R5/3 TIL 12/31/22
PRVHMO31,COVERED BY PRIVATE HMO-ANY TIME IN R3/1
PRVHMO42,COVERED BY PRIVATE HMO-ANY TIME IN R4/2
PRVSPK42,PROV SPEAKS PERSON'S LANGUAGE-R4/2
PRXAP22,COV BY PRIV INS THROUGH EXCHNG IN APR22
PRXAU22,COV BY PRIV INS THROUGH EXCHNG IN AUG22
PRXDE22,COV BY PRIV INS THROUGH EXCHNG IN DEC22
PRXFE22,COV BY PRIV INS THROUGH EXCHNG IN FEB22
PRXJA22,COV BY PRIV INS THROUGH EXCHNG IN JAN22
PRXJL22,COV BY PRIV INS THROUGH EXCHNG IN JUL22
PRXJU22,COV BY PRIV INS THROUGH EXCHNG IN JUN22
PRXMA22,COV BY PRIV INS THROUGH EXCHNG IN MAR22
PRXMY22,COV BY PRIV INS THROUGH EXCHNG IN MAY22
PRXNO22,COV BY PRIV INS THROUGH EXCHNG IN NOV22
PRXOC22,COV BY PRIV INS THROUGH EXCHNG IN OCT22
PRXSE22,COV BY PRIV INS THROUGH EXCHNG IN SEP22
PSTATS31,PERSON DISPOSITION STATUS - R3/1
PSTATS42,PERSON DISPOSITION STATUS - R4/2
PSTATS53,PERSON DISPOSITION STATUS - R5/3
PUB22X,COV BY PUBLIC INS - 12/31/22 (ED)
PUB31X,COV BY PUBLIC INS - R3/1 INT DT (ED)
PUB42X,COV BY PUBLIC INS - R4/2 INT DT (ED)
PUB53X,COV BY PUBLIC INS 12-31/R3 INT DT (ED)
PUBAP22X,COVR BY ANY PUBLIC INS IN APR22
PUBAT22X,COV BY PUBLIC - R5/3 UNTIL 12/31/22
PUBAT31X,COV BY PUBLIC - ANY TIME IN R3/1
PUBAT42X,COV BY PUBLIC - ANY TIME IN R4/2
PUBAT53X,COV BY PUBLIC - ANY TIME IN R5/3
PUBAU22X,COVR BY ANY PUBLIC INS IN AUG22
PUBDE22X,COVR BY ANY PUBLIC INS IN DEC22
PUBFE22X,COVR BY ANY PUBLIC INS IN FEB22
PUBJA22X,COVR BY ANY PUBLIC INS IN JAN22
PUBJL22X,COVR BY ANY PUBLIC INS IN JUL22
PUBJU22X,COVR BY ANY PUBLIC INS IN JUN22
PUBMA22X,COVR BY ANY PUBLIC INS IN MAR22
PUBMY22X,COVR BY ANY PUBLIC INS IN MAY22
PUBNO22X,COVR BY ANY PUBLIC INS IN NOV22
PUBOC22X,COVR BY ANY PUBLIC INS IN OCT22
PUBSE22X,COVR BY ANY PUBLIC INS IN SEP22
PYUNBL42,UNABLE TO PAY FAMILY MEDICAL BILLS
RACEAX,ASIAN AMONG RACES RPTD (EDITED/IMPUTED)
RACEBX,BLACK AMONG RACES RPTD (EDITED/IMPUTED)
RACETHX,RACE/ETHNICITY (EDITED/IMPUTED)
RACEV1X,RACE (EDITED/IMPUTED)
RACEV2X,RACE (EDITED/IMPUTED)
RACEWX,WHITE AMONG RACES RPTD (EDITED/IMPUTED)
RCHDIF31,DIFFICULTY REACHING OVERHEAD - RD 3/1
REFPRS22,REFERENCE PERSON AS OF 12/31/22
REFPRS31,REFERENCE PERSON AT - R3/1
REFPRS42,REFERENCE PERSON AT - R4/2
REFPRS53,REFERENCE PERSON AT - R5/3
REFRL22X,RELATION TO REF PERS-12/31/22 (EDIT/IMP)
REFRL31X,RELATION TO REF PERS- R3/1 (EDIT/IMP)
REFRL42X,RELATION TO REF PERS- R4/2 (EDIT/IMP)
REFRL53X,RELATION TO REF PERS- R5/3 (EDIT/IMP)
REGION22,CENSUS REGION AS OF 12/31/22
REGION31,CENSUS REGION - R3/1
REGION42,CENSUS REGION - R4/2
REGION53,CENSUS REGION - R5/3
RESP22,1ST RESPONDENT INDICATOR AS OF 12/31/22
RESP31,1ST RESPONDENT INDICATOR FOR R3/1
RESP42,1ST RESPONDENT INDICATOR FOR R4/2
RESP53,1ST RESPONDENT INDICATOR FOR R5/3
RETPLN31,PENSION PLAN AT RD 3/1 CMJ
RETPLN42,PENSION PLAN AT RD 4/2 CMJ
RETPLN53,PENSION PLAN AT RD 5/3 CMJ
RNDFLG31,DATA COLLECTION ROUND FOR RD 3/1 CMJ
RTHLTH31,PERCEIVED HEALTH STATUS - RD 3/1
RTHLTH42,PERCEIVED HEALTH STATUS - RD 4/2
RTHLTH53,PERCEIVED HEALTH STATUS - RD 5/3
RUCLAS22,RU FIELDED AS:STANDARD/NEW/STUD-12/31/22
RUCLAS31,RU FIELDED AS:STANDARD/NEW/STUDENT-R3/1
RUCLAS42,RU FIELDED AS:STANDARD/NEW/STUDENT-R4/2
RUCLAS53,RU FIELDED AS:STANDARD/NEW/STUDENT-R5/3
RULETR22,RU LETTER AS OF 12/31/22
RULETR31,RU LETTER - R3/1
RULETR42,RU LETTER - R4/2
RULETR53,RU LETTER - R5/3
RURSLT31,RU RESULT - R3/1
RURSLT42,RU RESULT - R4/2
RURSLT53,RU RESULT - R5/3
RUSIZE22,RU SIZE AS OF 12/31/22
RUSIZE31,RU SIZE - R3/1
RUSIZE42,RU SIZE - R4/2
RUSIZE53,RU SIZE - R5/3
SAFEST42,DR ADVISE CHLD SAFETY SEAT (WT<=40)-R4/2
SCHLIM31,SCHOOL LIMITATION - RD 3/1
SELFCM31,SELF-EMPLOYED AT RD 3/1 CMJ
SELFCM42,SELF-EMPLOYED AT RD 4/2 CMJ
SELFCM53,SELF-EMPLOYED AT RD 5/3 CMJ
SEX,SEX
SICPAY31,PAID SICK LEAVE AT RD 3/1 CMJ
SICPAY42,PAID SICK LEAVE AT RD 4/2 CMJ
SICPAY53,PAID SICK LEAVE AT RD 5/3 CMJ
SOCLIM31,SOCIAL LIMITATIONS - RD 3/1
SPOUID22,SPOUSE ID - 12/31/22
SPOUID31,SPOUSE ID - R3/1
SPOUID42,SPOUSE ID - R4/2
SPOUID53,SPOUSE ID - R5/3
SPOUIN22,MARITAL STATUS W/SPOUSE PRESENT-12/31/22
SPOUIN31,MARITAL STATUS W/SPOUSE PRESENT-R3/1
SPOUIN42,MARITAL STATUS W/SPOUSE PRESENT-R4/2
SPOUIN53,MARITAL STATUS W/SPOUSE PRESENT-R5/3
SSNLJB31,IS CMJ A SEASONAL JOB RD 3/1
SSNLJB42,IS CMJ A SEASONAL JOB RD 4/2
SSNLJB53,IS CMJ A SEASONAL JOB RD 5/3
STJBMM31,MONTH STARTED RD 3/1 CMJ
STJBMM42,MONTH STARTED RD 4/2 CMJ
STJBMM53,MONTH STARTED RD 5/3 CMJ
STJBYY31,YEAR STARTED RD 3/1 CMJ
STJBYY42,YEAR STARTED RD 4/2 CMJ
STJBYY53,YEAR STARTED RD 5/3 CMJ
STNDIF31,DIFFICULTY STANDING 20 MINUTES - RD 3/1
STPDIF31,DIFFICULTY WALKING UP 10 STEPS - RD 3/1
STRKAGED,AGE OF DIAGNOSIS-STROKE
STRKDX,STROKE DIAGNOSIS (>17)
TEMPJB31,IS CMJ A TEMPORARY JOB RD 3/1
TEMPJB42,IS CMJ A TEMPORARY JOB RD 4/2
TEMPJB53,IS CMJ A TEMPORARY JOB RD 5/3
TIMALN42,DOCTOR SPEND ANY TIME ALONE (12-17)-R4/2
TMTKUS42,HOW LONG IT TAKES GET TO USC-R4/2
TREATM42,PROV ASK ABOUT OTH TREATMENTS-R4/2
TRI22X,COV BY TRICARE - R5/3 TIL 12/31/22
TRI31X,COV BY TRICARE - ANY TIME IN R3/1
TRI42X,COV BY TRICARE - ANY TIME IN R4/2
TRIAP22X,COVERED BY TRICARE/CHAMPVA IN APR22(ED)
TRIAT22X,COV TRICARE/CHAMPVA-R5/3 UNTIL 12/31/22
TRIAT31X,COV TRICARE/CHAMPVA - ANY TIME IN R3/1
TRIAT42X,COV TRICARE/CHAMPVA - ANY TIME IN R4/2
TRIAT53X,COV TRICARE/CHAMPVA - ANY TIME IN R5/3
TRIAU22X,COVERED BY TRICARE/CHAMPVA IN AUG22 (ED)
TRICH22X,COVERED BY CHAMPVA - R5/3 UNTIL 12/31/22
TRICH31X,COVERED BY CHAMPVA - ANY TIME IN R3/1
TRICH42X,COVERED BY CHAMPVA - ANY TIME IN R4/2
TRICR22X,COV BY TRICR/CHAMV - 12/31/22 (ED)
TRICR31X,COV BY TRICR/CHAMV - R3/1 INT DT (ED)
TRICR42X,COV BY TRICR/CHAMV - R4/2 INT DT (ED)
TRICR53X,COV BY TRICR/CHAMV 12-31/R3 INT DT (ED)
TRIDE22X,COVERED BY TRICARE/CHAMPVA IN DEC22 (ED)
TRIEV22,EVER HAVE TRICARE/CHAMPVA DURING 2022
TRIFE22X,COVERED BY TRICARE/CHAMPVA IN FEB22 (ED)
TRIJA22X,COVERED BY TRICARE/CHAMPVA IN JAN22 (ED)
TRIJL22X,COVERED BY TRICARE/CHAMPVA IN JUL22 (ED)
TRIJU22X,COVERED BY TRICARE/CHAMPVA IN JUN22 (ED)
TRIMA22X,COVERED BY TRICARE/CHAMPVA IN MAR22 (ED)
TRIMY22X,COVERED BY TRICARE/CHAMPVA IN MAY22 (ED)
TRINO22X,COVERED BY TRICARE/CHAMPVA IN NOV22 (ED)
TRIOC22X,COVERED BY TRICARE/CHAMPVA IN OCT22 (ED)
TRISE22X,COVERED BY TRICARE/CHAMPVA IN SEP22 (ED)
TYPEPE42,USC TYPE OF PROVIDER-R4/2
UNABLE31,COMPLETELY UNABLE TO DO ACTIVITY - RD 3/1
UNINS22,UNINSURED ALL OF 2022
