Variable,Description
f_hddeafimx,imputation flag for hddeafimx
f_hdblindx,imputation flag for hdblindx
f_hdorthox,imputation flag for hdorthox
f_hdautismx,imputation flag for hdautismx
f_hdpddx,imputation flag for hdpddx
f_hdaddx,imputation flag for hdaddx
f_hddelayx,imputation flag for hddelayx
f_hdtrbrain,imputation flag for hdtrbrain
f_hdotherx,imputation flag for hdotherx
f_hdrecser,imputation flag for hdrecser
f_hdschlx,imputation flag for hdschlx
f_hdgovtx,imputation flag for hdgovtx
f_hddoctorx,imputation flag for hddoctorx
f_hdprisch,imputation flag for hdprisch
f_hdiepx,imputation flag for hdiepx
f_hddeviepx,imputation flag for hddeviepx
f_hdcommux,imputation flag for hdcommux
f_hdtchr,imputation flag for hdtchr
f_hdaccomx,imputation flag for hdaccomx
f_hdcommitx,imputation flag for hdcommitx
f_hdspcled,imputation flag for hdspcled
f_hdlearn,imputation flag for hdlearn
f_hdplay,imputation flag for hdplay
f_hdout,imputation flag for hdout
f_hdfrnds,imputation flag for hdfrnds
f_cdobmm,imputation flag for cdobmm
f_cdobyy,imputation flag for cdobyy
f_cplcbrth,imputation flag for cplcbrth
f_cmoveage,imputation flag for cmoveage
f_chispan,imputation flag for chispan
f_camind,imputation flag for camind
f_casian,imputation flag for casian
f_cblack,imputation flag for cblack
f_cpaci,imputation flag for cpaci
f_cwhite,imputation flag for cwhite
f_chisprm,imputation flag for chisprm
f_csex,imputation flag for csex
f_clivyn,imputation flag for clivyn
f_clivelswx,imputation flag for clivelswx
f_cspeakx,imputation flag for cspeakx
f_cenglprg,imputation flag for cenglprg
f_hhtotalxx,imputation flag for hhtotalxx
f_hhbrosx,imputation flag for hhbrosx
f_hhsissx,imputation flag for hhsissx
f_hhmom,imputation flag for hhmom
f_hhdad,imputation flag for hhdad
f_hhauntsx,imputation flag for hhauntsx
f_hhunclsx,imputation flag for hhunclsx
f_hhgmasx,imputation flag for hhgmasx
f_hhgpasx,imputation flag for hhgpasx
f_hhcsnsx,imputation flag for hhcsnsx
f_hhprtnrsx,imputation flag for hhprtnrsx
f_hhorelsx,imputation flag for hhorelsx
f_hhonrelsx,imputation flag for hhonrelsx
f_relation,imputation flag for relation
f_hhenglish,imputation flag for hhenglish
f_hhspanish,imputation flag for hhspanish
f_hhfrench,imputation flag for hhfrench
f_hhchinese,imputation flag for hhchinese
f_hhothlang,imputation flag for hhothlang
f_p1rel,imputation flag for p1rel
f_p1sex,imputation flag for p1sex
f_p1mrsta,imputation flag for p1mrsta
f_p1bfgf,imputation flag for p1bfgf
f_p1frlng,imputation flag for p1frlng
f_p1speak,imputation flag for p1speak
f_p1diffi,imputation flag for p1diffi
f_p1scint,imputation flag for p1scint
f_p1wrmtl,imputation flag for p1wrmtl
f_p1plcbrth,imputation flag for p1plcbrth
f_p1agemv,imputation flag for p1agemv
f_p1hispan,imputation flag for p1hispan
f_p1amind,imputation flag for p1amind
f_p1asian,imputation flag for p1asian
f_p1black,imputation flag for p1black
f_p1paci,imputation flag for p1paci
f_p1white,imputation flag for p1white
f_p1hisprm,imputation flag for p1hisprm
f_p1educ,imputation flag for p1educ
f_p1enrl,imputation flag for p1enrl
f_p1empl,imputation flag for p1empl
f_p1hrswk,imputation flag for p1hrswk
f_p1lkwrk,imputation flag for p1lkwrk
f_p1mthswrk,imputation flag for p1mthswrk
f_p1age,imputation flag for p1age
f_p1agepar,imputation flag for p1agepar
f_p1agepardk,imputation flag for p1agepardk
f_p2guard,imputation flag for p2guard
f_p2rel,imputation flag for p2rel
f_p2sex,imputation flag for p2sex
f_p2mrsta,imputation flag for p2mrsta
f_p2bfgf,imputation flag for p2bfgf
f_p2frlng,imputation flag for p2frlng
f_p2speak,imputation flag for p2speak
f_p2diffi,imputation flag for p2diffi
f_p2scint,imputation flag for p2scint
f_p2wrmtl,imputation flag for p2wrmtl
f_p2plcbrth,imputation flag for p2plcbrth
f_p2agemv,imputation flag for p2agemv
f_p2hispan,imputation flag for p2hispan
f_p2amind,imputation flag for p2amind
f_p2asian,imputation flag for p2asian
f_p2black,imputation flag for p2black
f_p2paci,imputation flag for p2paci
f_p2white,imputation flag for p2white
f_p2hisprm,imputation flag for p2hisprm
f_p2educ,imputation flag for p2educ
f_p2enrl,imputation flag for p2enrl
f_p2empl,imputation flag for p2empl
f_p2hrswk,imputation flag for p2hrswk
f_p2lkwrk,imputation flag for p2lkwrk
f_p2mthswrk,imputation flag for p2mthswrk
f_p2age,imputation flag for p2age
f_p2agepar,imputation flag for p2agepar
f_p2agepardk,imputation flag for p2agepardk
f_hwelftan,imputation flag for hwelftan
f_hwelfst,imputation flag for hwelfst
f_hwic,imputation flag for hwic
f_hfoodst,imputation flag for hfoodst
f_hmedicaid,imputation flag for hmedicaid
f_hchip,imputation flag for hchip
f_hsecn8,imputation flag for hsecn8
f_ttlhhinc,imputation flag for ttlhhinc
f_yrsaddr,imputation flag for yrsaddr
f_ownrnthb,imputation flag for ownrnthb
f_hvintspho,imputation flag for hvintspho
f_hvintcom,imputation flag for hvintcom
f_useintrnt,imputation flag for useintrnt
f_hhunid,imputation flag for hhunid
