Variable,Descriptions
v154_denominator,Severe housing cost burden denominator
v154_cilow,Severe housing cost burden CI low
v154_cihigh,Severe housing cost burden CI high
v166_rawvalue,Broadband access raw value
v166_numerator,Broadband access numerator
v166_denominator,Broadband access denominator
v166_cilow,Broadband access CI low
v166_cihigh,Broadband access CI high
v051_rawvalue,Population raw value
v051_numerator,Population numerator
v051_denominator,Population denominator
v051_cilow,Population CI low
v051_cihigh,Population CI high
v052_rawvalue,% below 18 years of age raw value
v052_numerator,% below 18 years of age numerator
v052_denominator,% below 18 years of age denominator
v052_cilow,% below 18 years of age CI low
v052_cihigh,% below 18 years of age CI high
v053_rawvalue,% 65 and older raw value
v053_numerator,% 65 and older numerator
v053_denominator,% 65 and older denominator
v053_cilow,% 65 and older CI low
v053_cihigh,% 65 and older CI high
v054_rawvalue,% Non-Hispanic Black raw value
v054_numerator,% Non-Hispanic Black numerator
v054_denominator,% Non-Hispanic Black denominator
v054_cilow,% Non-Hispanic Black CI low
v054_cihigh,% Non-Hispanic Black CI high
v055_rawvalue,% American Indian & Alaska Native raw value
v055_numerator,% American Indian & Alaska Native numerator
v055_denominator,% American Indian & Alaska Native denominator
v055_cilow,% American Indian & Alaska Native CI low
v055_cihigh,% American Indian & Alaska Native CI high
v081_rawvalue,% Asian raw value
v081_numerator,% Asian numerator
v081_denominator,% Asian denominator
v081_cilow,% Asian CI low
v081_cihigh,% Asian CI high
v080_rawvalue,% Native Hawaiian/Other Pacific Islander raw value
v080_numerator,% Native Hawaiian/Other Pacific Islander numerator
v080_denominator,% Native Hawaiian/Other Pacific Islander denominator
v080_cilow,% Native Hawaiian/Other Pacific Islander CI low
v080_cihigh,% Native Hawaiian/Other Pacific Islander CI high
v056_rawvalue,% Hispanic raw value
v056_numerator,% Hispanic numerator
v056_denominator,% Hispanic denominator
v056_cilow,% Hispanic CI low
v056_cihigh,% Hispanic CI high
v126_rawvalue,% Non-Hispanic White raw value
v126_numerator,% Non-Hispanic White numerator
v126_denominator,% Non-Hispanic White denominator
v126_cilow,% Non-Hispanic White CI low
v126_cihigh,% Non-Hispanic White CI high
v059_rawvalue,% not proficient in English raw value
v059_numerator,% not proficient in English numerator
v059_denominator,% not proficient in English denominator
v059_cilow,% not proficient in English CI low
v059_cihigh,% not proficient in English CI high
v057_rawvalue,% Females raw value
v057_numerator,% Females numerator
v057_denominator,% Females denominator
v057_cilow,% Females CI low
v057_cihigh,% Females CI high
v058_rawvalue,% Rural raw value
v058_numerator,% Rural numerator
v058_denominator,% Rural denominator
v058_cilow,% Rural CI low
v058_cihigh,% Rural CI high
